Junction,Date,Weekday,Time,Lane,Vehicle_Count,Congestion_Level,Signal_Time,Weather,Public_Holiday,Accident_Scale
Electronic City Phase 1,2023-03-02,Thursday,05:00:00,West,300,4.57,51,Clear,No,4.69
Electronic City Phase 1,2023-03-02,Thursday,06:00:00,North,876,4.97,80,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,06:00:00,South,776,5.0,103,Clear,No,5.74
Electronic City Phase 1,2023-03-02,Thursday,06:00:00,East,356,7.42,101,Clear,No,3.75
Electronic City Phase 1,2023-03-02,Thursday,06:00:00,West,763,6.2,103,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,07:00:00,North,260,1.04,111,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,07:00:00,South,136,4.8,91,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,07:00:00,East,502,5.83,108,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,07:00:00,West,650,2.03,100,Clear,No,6.84
Electronic City Phase 1,2023-03-02,Thursday,08:00:00,North,650,6.64,70,Clear,No,7.35
Electronic City Phase 1,2023-03-02,Thursday,08:00:00,South,599,9.36,115,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,08:00:00,East,148,1.33,70,Clear,No,2.05
Electronic City Phase 1,2023-03-02,Thursday,08:00:00,West,678,6.4,76,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,09:00:00,North,239,7.21,101,Clear,No,2.02
Electronic City Phase 1,2023-03-02,Thursday,09:00:00,South,753,6.82,67,Clear,No,5.98
Electronic City Phase 1,2023-03-02,Thursday,09:00:00,East,988,5.96,70,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,09:00:00,West,922,5.17,78,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,10:00:00,North,270,3.34,61,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-02,Thursday,10:00:00,South,972,8.12,63,Partly Cloudy,No,4.07
Electronic City Phase 1,2023-03-02,Thursday,10:00:00,East,330,9.83,68,Partly Cloudy,No,2.16
Electronic City Phase 1,2023-03-02,Thursday,10:00:00,West,725,6.22,116,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-02,Thursday,11:00:00,North,242,2.17,111,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-02,Thursday,11:00:00,South,402,1.55,82,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,11:00:00,East,277,6.25,110,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,11:00:00,West,656,2.24,69,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,12:00:00,North,334,7.2,81,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-02,Thursday,12:00:00,South,260,5.09,70,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-02,Thursday,12:00:00,East,848,4.39,97,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,12:00:00,West,973,9.2,77,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-02,Thursday,13:00:00,North,935,1.57,63,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,13:00:00,South,491,1.89,109,Clear,No,3.1
Electronic City Phase 1,2023-03-02,Thursday,13:00:00,East,378,6.24,118,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,13:00:00,West,567,2.4,74,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,14:00:00,North,220,9.06,110,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,14:00:00,South,831,8.36,119,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,14:00:00,East,599,7.43,82,Clear,No,6.45
Electronic City Phase 1,2023-03-02,Thursday,14:00:00,West,788,6.96,99,Clear,No,5.67
Electronic City Phase 1,2023-03-02,Thursday,15:00:00,North,121,9.19,88,Clear,No,1.55
Electronic City Phase 1,2023-03-02,Thursday,15:00:00,South,782,1.66,90,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,15:00:00,East,622,7.0,67,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,15:00:00,West,508,8.1,99,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-02,Thursday,16:00:00,North,530,6.02,117,Clear,No,7.04
Electronic City Phase 1,2023-03-02,Thursday,16:00:00,South,605,9.02,89,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,16:00:00,East,577,8.28,98,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,16:00:00,West,486,9.1,106,Clear,No,2.42
Electronic City Phase 1,2023-03-02,Thursday,17:00:00,North,486,3.16,76,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,17:00:00,South,762,2.54,109,Clear,No,7.22
Electronic City Phase 1,2023-03-02,Thursday,17:00:00,East,837,3.75,80,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,17:00:00,West,169,5.59,99,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,18:00:00,North,872,1.98,108,Clear,No,5.62
Electronic City Phase 1,2023-03-02,Thursday,18:00:00,South,201,1.88,96,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,18:00:00,East,236,7.25,95,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,18:00:00,West,675,1.51,74,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,19:00:00,North,980,1.43,65,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,19:00:00,South,913,6.97,63,Clear,No,6.62
Electronic City Phase 1,2023-03-02,Thursday,19:00:00,East,267,2.77,100,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,19:00:00,West,584,2.23,80,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,20:00:00,North,801,5.4,112,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,20:00:00,South,107,5.39,117,Clear,No,1.81
Electronic City Phase 1,2023-03-02,Thursday,20:00:00,East,337,2.22,111,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,20:00:00,West,844,4.45,112,Clear,No,7.13
Electronic City Phase 1,2023-03-02,Thursday,21:00:00,North,997,3.65,69,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,21:00:00,South,633,5.75,66,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,21:00:00,East,719,6.88,92,Clear,No,9.29
Electronic City Phase 1,2023-03-02,Thursday,21:00:00,West,521,1.63,118,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,22:00:00,North,868,9.92,110,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,22:00:00,South,631,5.12,117,Clear,No,7.26
Electronic City Phase 1,2023-03-02,Thursday,22:00:00,East,580,7.42,91,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,22:00:00,West,249,1.75,71,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,23:00:00,North,462,5.75,69,Clear,No,0
Electronic City Phase 1,2023-03-02,Thursday,23:00:00,South,604,9.17,84,Clear,No,8.24
Electronic City Phase 1,2023-03-02,Thursday,23:00:00,East,783,7.9,69,Clear,No,8.9
Electronic City Phase 1,2023-03-02,Thursday,23:00:00,West,595,6.15,98,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,00:00:00,North,104,2.45,47,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,00:00:00,South,158,1.34,41,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,00:00:00,East,249,4.31,60,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,00:00:00,West,232,3.04,32,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,01:00:00,North,154,2.64,39,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,01:00:00,South,256,2.52,37,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,01:00:00,East,82,3.72,60,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,01:00:00,West,123,2.8,34,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,02:00:00,North,98,1.43,31,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,02:00:00,South,68,2.69,38,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,02:00:00,East,162,1.62,47,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,02:00:00,West,129,4.26,34,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,03:00:00,North,209,4.38,53,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,03:00:00,South,292,2.63,36,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,03:00:00,East,206,3.31,57,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,03:00:00,West,74,1.83,39,Clear,No,1.7
Electronic City Phase 1,2023-03-03,Friday,04:00:00,North,207,3.32,52,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,04:00:00,South,194,3.24,54,Clear,No,2.79
Electronic City Phase 1,2023-03-03,Friday,04:00:00,East,134,2.53,30,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,04:00:00,West,76,3.26,39,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,05:00:00,North,278,3.39,40,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,05:00:00,South,198,4.36,32,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,05:00:00,East,199,1.86,35,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,05:00:00,West,82,3.8,38,Clear,No,1.16
Electronic City Phase 1,2023-03-03,Friday,06:00:00,North,435,9.0,115,Clear,No,4.68
Electronic City Phase 1,2023-03-03,Friday,06:00:00,South,968,3.41,111,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,06:00:00,East,499,8.82,102,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,06:00:00,West,378,9.61,103,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,07:00:00,North,308,2.67,74,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,07:00:00,South,802,1.78,68,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,07:00:00,East,997,4.7,110,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,07:00:00,West,144,8.92,76,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,08:00:00,North,200,1.29,96,Clear,No,5.42
Electronic City Phase 1,2023-03-03,Friday,08:00:00,South,597,9.57,107,Clear,No,7.09
Electronic City Phase 1,2023-03-03,Friday,08:00:00,East,306,8.7,83,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,08:00:00,West,317,2.49,80,Clear,No,4.88
Electronic City Phase 1,2023-03-03,Friday,09:00:00,North,608,6.92,78,Clear,No,9.68
Electronic City Phase 1,2023-03-03,Friday,09:00:00,South,899,9.32,113,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,09:00:00,East,674,7.54,82,Clear,No,4.35
Electronic City Phase 1,2023-03-03,Friday,09:00:00,West,484,6.56,86,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,10:00:00,North,953,9.05,113,Clear,No,9.78
Electronic City Phase 1,2023-03-03,Friday,10:00:00,South,886,1.88,62,Clear,No,5.12
Electronic City Phase 1,2023-03-03,Friday,10:00:00,East,884,7.22,95,Clear,No,4.53
Electronic City Phase 1,2023-03-03,Friday,10:00:00,West,411,9.48,67,Clear,No,2.51
Electronic City Phase 1,2023-03-03,Friday,11:00:00,North,970,3.74,119,Clear,No,9.65
Electronic City Phase 1,2023-03-03,Friday,11:00:00,South,786,5.62,88,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,11:00:00,East,315,3.17,104,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,11:00:00,West,590,8.45,90,Clear,No,8.65
Electronic City Phase 1,2023-03-03,Friday,12:00:00,North,841,7.93,78,Clear,No,6.86
Electronic City Phase 1,2023-03-03,Friday,12:00:00,South,690,9.23,62,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,12:00:00,East,811,5.29,101,Clear,No,4.63
Electronic City Phase 1,2023-03-03,Friday,12:00:00,West,893,7.09,114,Clear,No,8.21
Electronic City Phase 1,2023-03-03,Friday,13:00:00,North,634,7.57,71,Clear,No,5.07
Electronic City Phase 1,2023-03-03,Friday,13:00:00,South,684,9.66,80,Clear,No,6.15
Electronic City Phase 1,2023-03-03,Friday,13:00:00,East,156,2.6,106,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,13:00:00,West,773,6.11,98,Clear,No,9.01
Electronic City Phase 1,2023-03-03,Friday,14:00:00,North,315,7.71,114,Clear,No,3.81
Electronic City Phase 1,2023-03-03,Friday,14:00:00,South,273,1.75,87,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,14:00:00,East,852,5.39,74,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,14:00:00,West,600,2.04,106,Clear,No,5.17
Electronic City Phase 1,2023-03-03,Friday,15:00:00,North,621,1.9,72,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,15:00:00,South,412,5.77,78,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,15:00:00,East,389,6.88,101,Clear,No,4.5
Electronic City Phase 1,2023-03-03,Friday,15:00:00,West,359,7.02,106,Clear,No,5.78
Electronic City Phase 1,2023-03-03,Friday,16:00:00,North,674,6.68,105,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,16:00:00,South,959,1.87,113,Clear,No,9.54
Electronic City Phase 1,2023-03-03,Friday,16:00:00,East,532,6.4,95,Clear,No,6.62
Electronic City Phase 1,2023-03-03,Friday,16:00:00,West,130,8.46,76,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,17:00:00,North,177,1.59,73,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,17:00:00,South,442,9.8,69,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,17:00:00,East,725,6.72,86,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,17:00:00,West,954,1.49,107,Clear,No,7.1
Electronic City Phase 1,2023-03-03,Friday,18:00:00,North,833,7.87,116,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,18:00:00,South,394,3.23,76,Clear,No,5.21
Electronic City Phase 1,2023-03-03,Friday,18:00:00,East,417,8.86,107,Clear,No,2.74
Electronic City Phase 1,2023-03-03,Friday,18:00:00,West,119,4.11,86,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,19:00:00,North,973,1.91,66,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,19:00:00,South,274,4.74,108,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,19:00:00,East,347,3.66,70,Clear,No,4.06
Electronic City Phase 1,2023-03-03,Friday,19:00:00,West,144,1.18,109,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,20:00:00,North,136,4.31,112,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,20:00:00,South,916,8.02,118,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,20:00:00,East,942,5.27,83,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,20:00:00,West,118,4.53,72,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,21:00:00,North,762,6.31,69,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,21:00:00,South,125,1.94,106,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,21:00:00,East,976,3.79,101,Clear,No,5.29
Electronic City Phase 1,2023-03-03,Friday,21:00:00,West,621,5.82,79,Clear,No,8.3
Electronic City Phase 1,2023-03-03,Friday,22:00:00,North,180,5.61,109,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,22:00:00,South,872,8.18,71,Clear,No,6.11
Electronic City Phase 1,2023-03-03,Friday,22:00:00,East,146,8.22,70,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,22:00:00,West,348,3.6,93,Clear,No,3.08
Electronic City Phase 1,2023-03-03,Friday,23:00:00,North,219,1.17,63,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,23:00:00,South,113,6.85,90,Clear,No,0
Electronic City Phase 1,2023-03-03,Friday,23:00:00,East,482,2.14,65,Clear,No,5.27
Electronic City Phase 1,2023-03-03,Friday,23:00:00,West,923,5.88,61,Clear,No,7.4
Electronic City Phase 1,2023-03-04,Saturday,00:00:00,North,201,3.45,44,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,00:00:00,South,281,2.74,58,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,00:00:00,East,285,3.35,60,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,00:00:00,West,86,2.97,55,Clear,No,2.51
Electronic City Phase 1,2023-03-04,Saturday,01:00:00,North,263,1.85,40,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,01:00:00,South,291,1.04,33,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,01:00:00,East,79,3.13,40,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,01:00:00,West,153,4.49,34,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,02:00:00,North,142,1.06,52,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,02:00:00,South,275,4.23,52,Clear,No,3.43
Electronic City Phase 1,2023-03-04,Saturday,02:00:00,East,243,1.68,46,Clear,No,4.38
Electronic City Phase 1,2023-03-04,Saturday,02:00:00,West,192,4.84,54,Clear,No,1.42
Electronic City Phase 1,2023-03-04,Saturday,03:00:00,North,225,2.16,58,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,03:00:00,South,282,3.6,52,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,03:00:00,East,161,2.83,56,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,03:00:00,West,225,1.08,32,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,04:00:00,North,257,2.07,33,Clear,No,4.76
Electronic City Phase 1,2023-03-04,Saturday,04:00:00,South,287,3.81,60,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,04:00:00,East,211,4.62,32,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,04:00:00,West,164,4.18,41,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,05:00:00,North,259,3.37,31,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,05:00:00,South,135,4.16,43,Clear,No,1.61
Electronic City Phase 1,2023-03-04,Saturday,05:00:00,East,135,3.35,43,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,05:00:00,West,237,1.78,46,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,06:00:00,North,954,9.64,93,Clear,No,9.25
Electronic City Phase 1,2023-03-04,Saturday,06:00:00,South,449,3.64,116,Clear,No,5.73
Electronic City Phase 1,2023-03-04,Saturday,06:00:00,East,282,8.29,109,Clear,No,3.06
Electronic City Phase 1,2023-03-04,Saturday,06:00:00,West,207,8.95,114,Clear,No,2.82
Electronic City Phase 1,2023-03-04,Saturday,07:00:00,North,765,6.89,80,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,07:00:00,South,977,1.49,83,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,07:00:00,East,604,4.84,105,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,07:00:00,West,985,4.0,70,Clear,No,9.04
Electronic City Phase 1,2023-03-04,Saturday,08:00:00,North,644,9.85,93,Clear,No,5.49
Electronic City Phase 1,2023-03-04,Saturday,08:00:00,South,589,3.32,77,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,08:00:00,East,679,7.06,111,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,08:00:00,West,232,8.02,76,Clear,No,4.96
Electronic City Phase 1,2023-03-04,Saturday,09:00:00,North,613,2.63,119,Clear,No,6.72
Electronic City Phase 1,2023-03-04,Saturday,09:00:00,South,287,2.38,64,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,09:00:00,East,681,1.76,96,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,09:00:00,West,376,1.97,101,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,10:00:00,North,989,5.93,108,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-04,Saturday,10:00:00,South,134,7.19,112,Clear,No,2.87
Electronic City Phase 1,2023-03-04,Saturday,10:00:00,East,752,9.08,111,Clear,No,4.59
Electronic City Phase 1,2023-03-04,Saturday,10:00:00,West,345,6.32,82,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,11:00:00,North,469,7.53,109,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,11:00:00,South,127,3.81,120,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,11:00:00,East,435,8.39,104,Clear,No,3.72
Electronic City Phase 1,2023-03-04,Saturday,11:00:00,West,301,4.78,61,Clear,No,5.52
Electronic City Phase 1,2023-03-04,Saturday,12:00:00,North,933,2.21,60,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,12:00:00,South,201,7.45,110,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-04,Saturday,12:00:00,East,148,4.7,109,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,12:00:00,West,557,7.9,85,Partly Cloudy,No,5.96
Electronic City Phase 1,2023-03-04,Saturday,13:00:00,North,492,5.97,85,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,13:00:00,South,875,3.95,92,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,13:00:00,East,951,5.52,101,Partly Cloudy,No,0
Electronic City Phase 1,2023-03-04,Saturday,13:00:00,West,943,5.18,64,Partly Cloudy,No,6.38
Electronic City Phase 1,2023-03-04,Saturday,14:00:00,North,552,1.81,96,Clear,No,5.27
Electronic City Phase 1,2023-03-04,Saturday,14:00:00,South,875,6.65,82,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,14:00:00,East,889,9.97,93,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,14:00:00,West,274,6.88,109,Clear,No,5.95
Electronic City Phase 1,2023-03-04,Saturday,15:00:00,North,789,8.75,96,Clear,No,4.58
Electronic City Phase 1,2023-03-04,Saturday,15:00:00,South,188,1.52,81,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,15:00:00,East,306,3.68,67,Clear,No,2.67
Electronic City Phase 1,2023-03-04,Saturday,15:00:00,West,143,6.63,109,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,16:00:00,North,938,3.98,88,Clear,No,8.09
Electronic City Phase 1,2023-03-04,Saturday,16:00:00,South,865,3.34,64,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,16:00:00,East,830,5.48,95,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,16:00:00,West,719,2.76,73,Clear,No,5.54
Electronic City Phase 1,2023-03-04,Saturday,17:00:00,North,699,1.18,116,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,17:00:00,South,261,9.96,99,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,17:00:00,East,884,3.13,103,Clear,No,4.89
Electronic City Phase 1,2023-03-04,Saturday,17:00:00,West,814,7.6,82,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,18:00:00,North,693,8.31,81,Clear,No,6.75
Electronic City Phase 1,2023-03-04,Saturday,18:00:00,South,492,2.79,71,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,18:00:00,East,585,4.92,89,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,18:00:00,West,610,4.39,98,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,19:00:00,North,504,1.66,92,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,19:00:00,South,413,1.9,68,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,19:00:00,East,721,5.41,101,Clear,No,4.77
Electronic City Phase 1,2023-03-04,Saturday,19:00:00,West,140,6.77,60,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,20:00:00,North,860,6.79,107,Clear,No,5.58
Electronic City Phase 1,2023-03-04,Saturday,20:00:00,South,528,1.46,105,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,20:00:00,East,667,8.69,117,Clear,No,6.26
Electronic City Phase 1,2023-03-04,Saturday,20:00:00,West,300,1.24,62,Clear,No,2.86
Electronic City Phase 1,2023-03-04,Saturday,21:00:00,North,128,4.83,65,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,21:00:00,South,832,3.22,104,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,21:00:00,East,690,1.92,70,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,21:00:00,West,742,7.98,99,Clear,No,8.75
Electronic City Phase 1,2023-03-04,Saturday,22:00:00,North,681,3.05,74,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,22:00:00,South,741,2.04,78,Clear,No,9.4
Electronic City Phase 1,2023-03-04,Saturday,22:00:00,East,556,3.13,91,Clear,No,8.21
Electronic City Phase 1,2023-03-04,Saturday,22:00:00,West,245,6.3,103,Clear,No,4.69
Electronic City Phase 1,2023-03-04,Saturday,23:00:00,North,435,8.57,98,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,23:00:00,South,360,9.34,87,Clear,No,4.23
Electronic City Phase 1,2023-03-04,Saturday,23:00:00,East,882,7.9,93,Clear,No,0
Electronic City Phase 1,2023-03-04,Saturday,23:00:00,West,612,6.37,102,Clear,No,6.67
Electronic City Phase 1,2023-03-05,Sunday,00:00:00,North,207,4.37,50,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,00:00:00,South,104,3.54,46,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,00:00:00,East,240,1.58,39,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,00:00:00,West,189,1.17,50,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,01:00:00,North,77,2.0,32,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,01:00:00,South,190,2.05,32,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,01:00:00,East,142,2.03,33,Clear,No,2.89
Electronic City Phase 1,2023-03-05,Sunday,01:00:00,West,91,3.73,50,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,02:00:00,North,194,3.7,58,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,02:00:00,South,53,3.48,56,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,02:00:00,East,133,4.5,55,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,02:00:00,West,114,1.37,40,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,03:00:00,North,169,2.09,43,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,03:00:00,South,269,4.14,58,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,03:00:00,East,156,3.84,59,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,03:00:00,West,213,3.04,44,Clear,No,3.44
Electronic City Phase 1,2023-03-05,Sunday,04:00:00,North,134,2.45,56,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,04:00:00,South,168,2.22,39,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,04:00:00,East,284,1.46,46,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,04:00:00,West,289,3.69,39,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,05:00:00,North,296,1.86,42,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,05:00:00,South,194,1.79,47,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,05:00:00,East,258,1.23,56,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,05:00:00,West,150,3.29,58,Clear,No,0
Electronic City Phase 1,2023-03-05,Sunday,06:00:00,North,943,3.33,80,Clear,No,9.86
Electronic City Phase 1,2023-03-05,Sunday,06:00:00,South,434,4.97,114,Clear,No,5.42
Electronic City Phase 1,2023-03-05,Sunday,06:00:00,East,235,7.25,65,Clear,No,4.26
